gene	sample20180810-A2_capture6_I4	sample20180808-B3_panel12_capture4_I6	sample20180810-A2_capture6_I8	sample20180808-B3_panel12_capture4_I9	sample20180810-A2_capture6_I5	sample20180808-B3_panel12_capture4_I5	sample20180810-A2_capture7_I24	sample20180810-A2_capture7_I22	sample20180810-A2_capture6_I6	sample20180810-A2_capture7_I20	sample20180808-B3_panel12_capture4_I11	sample20180808-B3_panel12_capture4_I12	sample20180810-A2_capture7_I23	sample20180808-B3_panel12_capture4_I7	sample20180810-A2_capture6_I9	sample20180810-A2_capture6_I12	sample20180808-B3_panel12_capture4_I1	sample20180810-A2_capture7_I21	sample20180810-A2_capture7_I19	sample20180808-B3_panel12_capture4_I8	sample20180810-A2_capture6_I2	sample20180808-B3_panel12_capture4_I4	sample20180810-A2_capture6_I11	sample20180810-A2_capture6_I3	sample20180810-A2_capture6_I7	sample20180808-B3_panel12_capture4_I10	sample20180810-A2_capture6_I10	sample20180810-A2_capture6_I1	sample20180808-B3_panel12_capture4_I2	sample20180808-B3_panel12_capture4_I3	Median_GCS	cut_off	R-181110-535748-BLD-521005_BC_E18111112-3-DNA_F1811112948-16_L181111-00002-A5_20181113-C12_panel12_P181114419-3_sample20181114-A3-A00168-GCS	R-181110-535748-BLD-521005_BC_E18111112-3-DNA_F1811112948-16_L181111-00002-A5_20181113-C12_panel12_P181114419-3_sample20181114-A3-A00168-CopyRatio	Exon_counts	Filter	CopyNumber
ABCA13	-7.06551491741	0.587607361212	0.49260452526	0.675657721551	0.723729843411	0.189579458275	0.376394991373	0.233144558438	-0.520858985302	-0.308506584233	0.00750330786404	0.27321670134	-0.068718206286	0.540441573653	0.94218342514	-0.589088645377	0.252580723157	-0.648013154167	0.590427378277	0.767829103491	0.346673456723	0.394753494402	-0.0722899212388	0.4358154618	0.260034532633	-0.0389375871837	0.530125765801	-0.228228657513	-0.00495177685823	0.924805051773	0.266625616986	0.94218342514	-2.40825742482	-0.60029388032	2	PASS	1.31923915133
ABCA8	-4.14130459841	1.62075678544	-0.0213331897023	0.964356636	-0.24965461613	0.0259862955496	-0.874761441963	0.869357033057	-0.925483462177	-0.345149267011	0.106505566249	0.000442901641018	-0.521645906969	-0.169040662794	-0.0132284870646	0.772091988957	1.48790411042	-0.819562744373	-0.644015516757	0.487122636356	0.352700886245	-0.059105210688	0.536659969887	0.557219720849	-0.146306566418	1.18729216816	-0.0961146060478	-0.213953428044	0.272531922146	-0.000268916401343	-0.00674870173298	1.62075678544	-1.5215763977	-0.631398202967	1	.	1.29110094013
ABL1	4.94497401515	0.265102186906	0.0709934898673	-0.407211724948	-0.642911588683	-0.962418451243	-1.37567419685	-0.903639720295	-1.5247512914	0.607187725783	1.31943842388	-1.74580888882	-1.63038306363	-2.68792468411	-0.172650745268	0.701345605421	0.685724871309	0.603165015416	-0.639694716125	-0.131052728891	0.5383118167	0.560065638695	0.419736329971	0.633559915291	1.29686421363	0.171760167567	-0.762854624517	-0.575472919787	0.23280506314	1.11141486585	0.121376828717	2.68792468411	4.3317755365	0.0795106752688	12	PASS	2.11331917651
ACADSB	-4.6283248999	0.596691694207	-0.217175960465	0.787026209019	-0.44736690374	-0.713421576316	-0.0580792471802	-0.3359445972	0.584469040569	0.127100149302	0.0673541089276	0.173620086901	0.400408680556	-0.161733561627	0.8126826874	1.12552664359	0.163260046572	0.879602293025	0.156410410505	-0.743070719022	0.267186487101	-0.693084648428	0.123957444798	-0.449711943824	-0.277417081446	1.13487239113	0.628964658696	0.518187280121	-0.0399860482808	0.217996875003	0.141755279904	1.13487239113	0.315490391338	-0.036182578708	1	.	1.95046406857
ACOT13	-4.74767487061	-0.123332670599	0.180066086923	-0.137706586126	-0.05826615274	-0.449743542145	-0.334412188141	0.243620626259	0.310368349265	0.073983081945	-0.171876597535	0.642666667724	-0.979050176208	0.317571991445	0.0199135772566	0.52032117328	0.315722687168	0.109653869764	-0.36363431979	0.326251972834	1.12944957649	0.179352393081	0.0515093292344	0.73545729344	0.0362603501867	1.65356476674	0.259576349856	0.269063934014	0.174685737306	-0.183362710324	0.142169803535	1.65356476674	4.2805527743	1.20955106055	1	PASS	4.62531320156
ADAMTS6	-5.03509958586	0.223329709329	0.0340997827169	0.871360198157	0.462683934056	0.0542925899933	0.617510104001	-0.576616187524	0.359843569024	0.114126368179	-0.587964187737	0.151511598796	0.173927403439	0.131088679426	-0.21549967494	-0.0248442123635	0.346050534875	0.944929874864	0.408947188946	0.0309623156568	-0.08938179592	0.0554007272892	0.307972765278	0.383480135954	0.0492987220723	0.725100515237	-0.329161153455	0.0993404128839	-0.13632355603	0.44963322366	0.122607523802	0.944929874864	0.948737504239	0.18210594618	1	PASS	2.26907759641
ADRB1	-4.70358137816	0.3906117196	-0.20993353089	0.429864562752	-0.0508438781379	0.3018147548	-0.795865020914	-0.396514082832	-0.30779227108	0.265793168922	0.171808682788	-0.142916183754	-0.274023393251	0.0298047376234	-0.212258314659	-0.0365259349188	0.520676618151	0.650905009739	0.203405869325	0.716350220027	0.563955262049	0.35102308523	-0.565433873674	0.496417582036	0.15468574838	1.91493565344	-0.262443287305	0.155731425858	0.203729971855	0.436617077	0.163770054323	1.91493565344	5.35115050782	1.83677694234	1	PASS	7.14422215247
ADSS	-4.47461279286	0.387936477212	0.650357355837	-0.0486857112128	0.240178959913	-0.118189201125	-0.447625073541	0.578713383742	0.577514050618	-0.426664621511	-0.580905020526	-0.0404286673267	-0.605667357958	0.438646297035	0.355123342865	0.0473238553927	0.101698444486	-0.242239778186	0.189717822262	0.201160489218	0.390950525854	-0.0488711384821	0.488391415513	0.177248164913	-0.317787669811	2.56041708321	0.0860456858371	0.0127717516347	0.00121571498628	-0.133733787992	0.0666847706149	2.56041708321	-0.691400505718	-0.355169695669	1	.	1.56355536369
AGPAT9	-5.08787522862	0.496957574057	-0.296176410167	0.0265439419893	0.488528015492	-0.452271420601	0.211007731805	0.0742878669807	0.444723857444	0.376501587962	0.490428831769	0.53363333606	0.470427466904	0.283776339004	0.249870645978	0.136639825822	-0.0365767829379	-0.510891044493	-0.180766134524	0.531960409117	0.44135335032	0.15276043818	-0.294905398302	0.741942411769	0.18766015189	-0.436319874995	0.129466665845	0.351217255925	-0.0114578264075	0.487552416734	0.199333941847	0.741942411769	-4.01471934746	-1.33177873543	1	PASS	0.794556250979
AK7	-4.48842657482	0.288306096767	-0.0370852340968	0.00341984247952	-0.844910327484	0.444043816435	-0.0480951369948	0.190342264716	-0.115714476054	0.0172082244888	0.522176669979	0.155147095532	0.171176260552	-0.396552319562	-0.0951333619542	0.4346774334	0.0116044873349	0.590156009713	-0.53265588183	-0.074031299267	0.282213941274	0.347015128733	0.000476498722189	0.71684734492	0.217792059818	2.57933528494	-0.0709891522651	-0.26017788762	0.00657835754656	-0.0147451654019	0.00909142244073	2.57933528494	6.0426399859	2.18573563673	1	PASS	9.09917431333
AKT1	-7.82221193833	0.859922988852	0.0762994089496	0.689241664414	0.0405808457893	1.0222994055	-2.41265060792	-1.47050178226	-0.451585349074	0.494501461584	4.10560759518	1.72082475493	-0.396777482357	-1.87657965983	-3.64188612269	1.89356948032	-0.356213140864	1.95906976144	-1.22478952213	0.428358706199	1.35002103021	1.57865150078	-1.05839148179	2.15993498649	-0.0903835906058	3.05346510202	-1.25079315987	1.45958265809	0.781205204305	-1.62037271734	0.252329057574	4.10560759518	2.98680966822	0.0542098537822	14	.	2.07658057761
